-2.14748e+09: 31,  0| -1.07374e+09: 31,  1| -5.36871e+08: 31,  2| -2.68435e+08: 31,  3| -1.34218e+08: 31,  4| -6.71089e+07: 31,  5| -3.35544e+07: 31,  6| -1.67772e+07: 31,  7| -8.38861e+06: 31,  8| -4.1943e+06: 31,  9| -2.09715e+06: 31, 10| -1.04858e+06: 31, 11|     -524288: 31, 12|     -262144: 31, 13|     -131072: 31, 14|      -65536: 31, 15|      -32768: 31, 16|      -16384: 31, 17|       -8192: 31, 18|       -4096: 31, 19|       -2048: 31, 20|       -1024: 31, 21|        -512: 31, 22|        -256: 31, 23|        -128: 31, 24|         -64: 31, 25|         -32: 31, 26|         -16: 31, 27|          -8: 31, 28|          -4: 31, 29|          -2: 31, 30|        -0.5: 30, 31| 
      -0.25: 29, 31|      -0.125: 28, 31|     -0.0625: 27, 31|    -0.03125: 26, 31|   -0.015625: 25, 31|  -0.0078125: 24, 31| -0.00390625: 23, 31| -0.00195313: 22, 31| -0.000976563: 21, 31| -0.000488282: 20, 31| -0.000244141: 19, 31| -0.000122071: 18, 31| -6.10356e-05: 17, 31| -3.0518e-05: 16, 31| -1.52593e-05: 15, 31| -7.62986e-06: 14, 31| -3.81516e-06: 13, 31| -1.90781e-06: 12, 31| -9.5414e-07: 11, 31| -4.77303e-07: 10, 31| -2.38884e-07:  9, 31| -1.19675e-07:  8, 31| -6.00703e-08:  7, 31| -3.0268e-08:  6, 31| -1.53668e-08:  5, 31| -7.91624e-09:  4, 31| -4.19095e-09:  3, 31| -2.32831e-09:  2, 31| -1.39698e-09:  1, 31| -9.31323e-10:  0, 31| 1.86265e-09:  0, 30| 2.79397e-09:  1, 30| 
3.72529e-09:  0, 29| 4.65661e-09:  2, 30| 5.58794e-09:  1, 29| 7.45058e-09:  0, 28|  8.3819e-09:  3, 30| 9.31323e-09:  2, 29| 1.11759e-08:  1, 28| 1.49012e-08:  0, 27| 1.58325e-08:  4, 30| 1.67638e-08:  3, 29| 1.86265e-08:  2, 28| 2.23517e-08:  1, 27| 2.98023e-08:  0, 26| 3.07336e-08:  5, 30|  3.1665e-08:  4, 29| 3.35276e-08:  3, 28| 3.72529e-08:  2, 27| 4.47035e-08:  1, 26| 5.96046e-08:  0, 25|  6.0536e-08:  6, 30| 6.14673e-08:  5, 29| 6.33299e-08:  4, 28| 6.70552e-08:  3, 27| 7.45058e-08:  2, 26|  8.9407e-08:  1, 25| 1.19209e-07:  0, 24| 1.20141e-07:  7, 30| 1.21072e-07:  6, 29| 1.22935e-07:  5, 28|  1.2666e-07:  4, 27|  1.3411e-07:  3, 26| 1.49012e-07:  2, 25| 
1.78814e-07:  1, 24| 2.38419e-07:  0, 23|  2.3935e-07:  8, 30| 2.40281e-07:  7, 29| 2.42144e-07:  6, 28| 2.45869e-07:  5, 27|  2.5332e-07:  4, 26| 2.68221e-07:  3, 25| 2.98023e-07:  2, 24| 3.57628e-07:  1, 23| 4.76837e-07:  0, 22| 4.77768e-07:  9, 30|   4.787e-07:  8, 29| 4.80562e-07:  7, 28| 4.84288e-07:  6, 27| 4.91738e-07:  5, 26| 5.06639e-07:  4, 25| 5.36442e-07:  3, 24| 5.96046e-07:  2, 23| 7.15256e-07:  1, 22| 9.53674e-07:  0, 21| 9.54606e-07: 10, 30| 9.55537e-07:  9, 29|   9.574e-07:  8, 28| 9.61125e-07:  7, 27| 9.68575e-07:  6, 26| 9.83477e-07:  5, 25| 1.01328e-06:  4, 24| 1.07288e-06:  3, 23| 1.19209e-06:  2, 22| 1.43051e-06:  1, 21| 1.90735e-06:  0, 20| 
1.90828e-06: 11, 30| 1.90921e-06: 10, 29| 1.91107e-06:  9, 28|  1.9148e-06:  8, 27| 1.92225e-06:  7, 26| 1.93715e-06:  6, 25| 1.96695e-06:  5, 24| 2.02656e-06:  4, 23| 2.14577e-06:  3, 22| 2.38419e-06:  2, 21| 2.86102e-06:  1, 20|  3.8147e-06:  0, 19| 3.81563e-06: 12, 30| 3.81656e-06: 11, 29| 3.81842e-06: 10, 28| 3.82215e-06:  9, 27|  3.8296e-06:  8, 26|  3.8445e-06:  7, 25|  3.8743e-06:  6, 24| 3.93391e-06:  5, 23| 4.05312e-06:  4, 22| 4.29153e-06:  3, 21| 4.76837e-06:  2, 20| 5.72205e-06:  1, 19| 7.62939e-06:  0, 18| 7.63033e-06: 13, 30| 7.63126e-06: 12, 29| 7.63312e-06: 11, 28| 7.63685e-06: 10, 27|  7.6443e-06:  9, 26|  7.6592e-06:  8, 25|   7.689e-06:  7, 24| 
 7.7486e-06:  6, 23| 7.86781e-06:  5, 22| 8.10623e-06:  4, 21| 8.58307e-06:  3, 20| 9.53674e-06:  2, 19| 1.14441e-05:  1, 18| 1.52588e-05:  0, 17| 1.52597e-05: 14, 30| 1.52607e-05: 13, 29| 1.52625e-05: 12, 28| 1.52662e-05: 11, 27| 1.52737e-05: 10, 26| 1.52886e-05:  9, 25| 1.53184e-05:  8, 24|  1.5378e-05:  7, 23| 1.54972e-05:  6, 22| 1.57356e-05:  5, 21| 1.62125e-05:  4, 20| 1.71661e-05:  3, 19| 1.90735e-05:  2, 18| 2.28882e-05:  1, 17| 3.05176e-05:  0, 16| 3.05185e-05: 15, 30| 3.05194e-05: 14, 29| 3.05213e-05: 13, 28|  3.0525e-05: 12, 27| 3.05325e-05: 11, 26| 3.05474e-05: 10, 25| 3.05772e-05:  9, 24| 3.06368e-05:  8, 23|  3.0756e-05:  7, 22| 3.09944e-05:  6, 21| 
3.14713e-05:  5, 20| 3.24249e-05:  4, 19| 3.43323e-05:  3, 18|  3.8147e-05:  2, 17| 4.57764e-05:  1, 16| 6.10352e-05:  0, 15| 6.10361e-05: 16, 30|  6.1037e-05: 15, 29| 6.10389e-05: 14, 28| 6.10426e-05: 13, 27| 6.10501e-05: 12, 26|  6.1065e-05: 11, 25| 6.10948e-05: 10, 24| 6.11544e-05:  9, 23| 6.12736e-05:  8, 22|  6.1512e-05:  7, 21| 6.19888e-05:  6, 20| 6.29425e-05:  5, 19| 6.48499e-05:  4, 18| 6.86646e-05:  3, 17| 7.62939e-05:  2, 16| 9.15527e-05:  1, 15|  0.00012207:  0, 14| 0.000122071: 17, 30| 0.000122072: 16, 29| 0.000122074: 15, 28| 0.000122078: 14, 27| 0.000122085: 13, 26|   0.0001221: 12, 25|  0.00012213: 11, 24|  0.00012219: 10, 23| 0.000122309:  9, 22| 
0.000122547:  8, 21| 0.000123024:  7, 20| 0.000123978:  6, 19| 0.000125885:  5, 18|   0.0001297:  4, 17| 0.000137329:  3, 16| 0.000152588:  2, 15| 0.000183105:  1, 14| 0.000244141:  0, 13| 0.000244142: 18, 30| 0.000244142: 17, 29| 0.000244144: 16, 28| 0.000244148: 15, 27| 0.000244156: 14, 26|  0.00024417: 13, 25|   0.0002442: 12, 24|  0.00024426: 11, 23| 0.000244379: 10, 22| 0.000244617:  9, 21| 0.000245094:  8, 20| 0.000246048:  7, 19| 0.000247955:  6, 18|  0.00025177:  5, 17| 0.000259399:  4, 16| 0.000274658:  3, 15| 0.000305176:  2, 14| 0.000366211:  1, 13| 0.000488281:  0, 12| 0.000488282: 19, 30| 0.000488283: 18, 29| 0.000488285: 17, 28| 0.000488289: 16, 27| 
0.000488296: 15, 26| 0.000488311: 14, 25| 0.000488341: 13, 24|   0.0004884: 12, 23|  0.00048852: 11, 22| 0.000488758: 10, 21| 0.000489235:  9, 20| 0.000490189:  8, 19| 0.000492096:  7, 18| 0.000495911:  6, 17|  0.00050354:  5, 16| 0.000518799:  4, 15| 0.000549316:  3, 14| 0.000610352:  2, 13| 0.000732422:  1, 12| 0.000976562:  0, 11| 0.000976563: 20, 30| 0.000976564: 19, 29| 0.000976566: 18, 28|  0.00097657: 17, 27| 0.000976577: 16, 26| 0.000976592: 15, 25| 0.000976622: 14, 24| 0.000976682: 13, 23| 0.000976801: 12, 22| 0.000977039: 11, 21| 0.000977516: 10, 20|  0.00097847:  9, 19| 0.000980377:  8, 18| 0.000984192:  7, 17| 0.000991821:  6, 16|  0.00100708:  5, 15| 
  0.0010376:  4, 14|  0.00109863:  3, 13|   0.0012207:  2, 12|  0.00146484:  1, 11|  0.00195312:  0, 10|  0.00195313: 21, 30|  0.00195313: 20, 29|  0.00195313: 19, 28|  0.00195313: 18, 27|  0.00195314: 17, 26|  0.00195315: 16, 25|  0.00195318: 15, 24|  0.00195324: 14, 23|  0.00195336: 13, 22|   0.0019536: 12, 21|  0.00195408: 11, 20|  0.00195503: 10, 19|  0.00195694:  9, 18|  0.00196075:  8, 17|  0.00196838:  7, 16|  0.00198364:  6, 15|  0.00201416:  5, 14|   0.0020752:  4, 13|  0.00219727:  3, 12|  0.00244141:  2, 11|  0.00292969:  1, 10|  0.00390625:  0,  9|  0.00390625: 22, 30|  0.00390625: 21, 29|  0.00390625: 20, 28|  0.00390626: 19, 27|  0.00390626: 18, 26| 
 0.00390628: 17, 25|  0.00390631: 16, 24|  0.00390637: 15, 23|  0.00390649: 14, 22|  0.00390673: 13, 21|   0.0039072: 12, 20|  0.00390816: 11, 19|  0.00391006: 10, 18|  0.00391388:  9, 17|  0.00392151:  8, 16|  0.00393677:  7, 15|  0.00396729:  6, 14|  0.00402832:  5, 13|  0.00415039:  4, 12|  0.00439453:  3, 11|  0.00488281:  2, 10|  0.00585938:  1,  9|   0.0078125:  0,  8|   0.0078125: 23, 30|   0.0078125: 22, 29|   0.0078125: 21, 28|  0.00781251: 20, 27|  0.00781251: 19, 26|  0.00781253: 18, 25|  0.00781256: 17, 24|  0.00781262: 16, 23|  0.00781274: 15, 22|  0.00781298: 14, 21|  0.00781345: 13, 20|  0.00781441: 12, 19|  0.00781631: 11, 18|  0.00782013: 10, 17| 
 0.00782776:  9, 16|  0.00784302:  8, 15|  0.00787354:  7, 14|  0.00793457:  6, 13|  0.00805664:  5, 12|  0.00830078:  4, 11|  0.00878906:  3, 10|  0.00976562:  2,  9|   0.0117188:  1,  8|    0.015625:  0,  7|    0.015625: 24, 30|    0.015625: 23, 29|    0.015625: 22, 28|    0.015625: 21, 27|    0.015625: 20, 26|    0.015625: 19, 25|   0.0156251: 18, 24|   0.0156251: 17, 23|   0.0156252: 16, 22|   0.0156255: 15, 21|    0.015626: 14, 20|   0.0156269: 13, 19|   0.0156288: 12, 18|   0.0156326: 11, 17|   0.0156403: 10, 16|   0.0156555:  9, 15|    0.015686:  8, 14|   0.0157471:  7, 13|   0.0158691:  6, 12|   0.0161133:  5, 11|   0.0166016:  4, 10|   0.0175781:  3,  9| 
  0.0195312:  2,  8|   0.0234375:  1,  7|     0.03125:  0,  6|     0.03125: 25, 30|     0.03125: 24, 29|     0.03125: 23, 28|     0.03125: 22, 27|     0.03125: 21, 26|     0.03125: 20, 25|   0.0312501: 19, 24|   0.0312501: 18, 23|   0.0312502: 17, 22|   0.0312505: 16, 21|    0.031251: 15, 20|   0.0312519: 14, 19|   0.0312538: 13, 18|   0.0312576: 12, 17|   0.0312653: 11, 16|   0.0312805: 10, 15|    0.031311:  9, 14|   0.0313721:  8, 13|   0.0314941:  7, 12|   0.0317383:  6, 11|   0.0322266:  5, 10|   0.0332031:  4,  9|   0.0351562:  3,  8|   0.0390625:  2,  7|    0.046875:  1,  6|      0.0625:  0,  5|      0.0625: 26, 30|      0.0625: 25, 29|      0.0625: 24, 28| 
     0.0625: 23, 27|      0.0625: 22, 26|      0.0625: 21, 25|   0.0625001: 20, 24|   0.0625001: 19, 23|   0.0625002: 18, 22|   0.0625005: 17, 21|    0.062501: 16, 20|   0.0625019: 15, 19|   0.0625038: 14, 18|   0.0625076: 13, 17|   0.0625153: 12, 16|   0.0625305: 11, 15|    0.062561: 10, 14|   0.0626221:  9, 13|   0.0627441:  8, 12|   0.0629883:  7, 11|   0.0634766:  6, 10|   0.0644531:  5,  9|   0.0664062:  4,  8|   0.0703125:  3,  7|    0.078125:  2,  6|     0.09375:  1,  5|       0.125:  0,  4|       0.125: 27, 30|       0.125: 26, 29|       0.125: 25, 28|       0.125: 24, 27|       0.125: 23, 26|       0.125: 22, 25|       0.125: 21, 24|       0.125: 20, 23| 
      0.125: 19, 22|       0.125: 18, 21|    0.125001: 17, 20|    0.125002: 16, 19|    0.125004: 15, 18|    0.125008: 14, 17|    0.125015: 13, 16|    0.125031: 12, 15|    0.125061: 11, 14|    0.125122: 10, 13|    0.125244:  9, 12|    0.125488:  8, 11|    0.125977:  7, 10|    0.126953:  6,  9|    0.128906:  5,  8|    0.132812:  4,  7|    0.140625:  3,  6|     0.15625:  2,  5|      0.1875:  1,  4|        0.25:  0,  3|        0.25: 28, 30|        0.25: 27, 29|        0.25: 26, 28|        0.25: 25, 27|        0.25: 24, 26|        0.25: 23, 25|        0.25: 22, 24|        0.25: 21, 23|        0.25: 20, 22|        0.25: 19, 21|    0.250001: 18, 20|    0.250002: 17, 19| 
